Mod.,pza.inv.ant,Exi,Dv.,P.X uni,Pzas.ve,To.ve.,X. ve.,Obser.
,,,,,0,0,0,
5340 Nicoletta,9,8,,556,1,556,4448,
5425 Nicoletta,17,17,,745,0,0,12665,
5427 Nicoletta,12,12,,745,0,0,8940,
5441 Nicoletta,8,8,,470,0,0,3760,
5443 Nicoletta,10,10,,840,0,0,8400,
5445 Nicoletta,2,2,,825,0,0,1650,
5468 Nicoletta,1,1,,810,0,0,810,
5469 Nicoletta,4,3,,795,1,795,2385,
5483 Nicoletta,4,3,,800,1,800,2400,
5488 Micoletta,12,10,,700,2,1400,7000,
5492 Nicoletta,0,0,,725,0,0,0,
5493 Nicoletta,6,5,,795,1,795,3975,
5496 Nicoletta,18,18,,875,0,0,15750,
5497 Nicoletta,5,5,,775,0,0,3875,
5501 Nicoletta,4,4,,785,0,0,3140,
5504 Nicoletta,8,7,,830,1,830,5810,
5506 Nicoletta,7,7,,525,0,0,3675,
5508 Nicoletta,51,47,,600,4,2400,28200,
5509 Nicoletta,13,13,,795,0,0,10335,
5518 Nicoletta,18,18,,845,0,0,15210,
5519 Nicoletta,4,4,,875,0,0,3500,
5522 Nicoletta,7,6,,795,1,795,4770,
5523 Nicoletta,1,1,,845,0,0,845,
5528 Nicoletta,1,1,,950,0,0,950,
5531 Nicoletta,7,6,,825,1,825,4950,
5535 Nicoletta,8,8,,895,0,0,7160,
5536 Nicoletta,12,12,,825,0,0,9900,
5539 Nicoletta,12,12,,840,0,0,10080,
5540 Nicoletta,9,9,,835,0,0,7515,
5543 Nicoletta,15,14,,790,1,790,11060,
5545 Nicoletta,16,16,,775,0,0,12400,
,,,,,0,0,0,
ASL-1240 Nyx,2,2,,2000,0,0,4000,
CC-1018 Nyx,20,19,,1700,1,1700,32300,
CC-1277 Nyx,5,5,,1500,0,0,7500,
CC-1440 Nyx,13,13,,2050,0,0,26650,
CD-3222 Nyx,11,11,,2100,0,0,23100,
CD-14327 Nyx,7,6,,2400,1,2400,14400,
CD-7664 Nyx,7,6,,2300,1,2300,13800,
CDHK-9163 Nyx,2,2,,1000,0,0,2000,
CDJC-214 Nyx,16,16,,2050,0,0,32800,
CDJC-931 Nyx,7,7,,2350,0,0,16450,
EU-3090 Nyx,16,16,,1500,0,0,24000,
EU-3194 Nyx,9,9,,2000,0,0,18000,
NA-2692 Nyx,2,2,,1000,0,0,2000,
SP-8802 Nyx,4,4,,2850,0,0,11400,
SP-8815 Nyx,13,13,,1800,0,0,23400,
JE-2001 Nyx,9,8,,1800,1,1800,14400,
,,,,,0,0,0,
**001 Punto Bco.,8,8,,350,0,0,2800,
**306 Punto Bco.,1,1,,200,0,0,200,bajo Aidee
0714 Punto Blanco,1,1,,650,0,0,650,
**714 Punto Blanco,8,8,,750,0,0,6000,
**722 Pun.Blanco,63,63,,930,0,0,58590,
**722 Broche P.B.,2,2,,850,0,0,1700,
**722 EstampadoPB,1,1,,850,0,0,850,
0725 Punto Blanco,6,6,,530,0,0,3180,
**730 Punto Blanco,21,21,,930,0,0,19530,dev clienta
**750 Punto Blanco,7,7,,550,0,0,3850,bajo Aidee
**757 Punto Blanco,6,6,,650,0,0,3900,
**763 Punto Blanco,1,1,,600,0,0,600,
**765 Punto Bco.,28,23,,930,5,4650,21390,
**765 P.Bc0.bordad,7,7,,950,0,0,6650,
0770 Punto Blanco,4,4,,800,0,0,3200,
0770 Puno Blanco,2,2,,700,0,0,1400,
0771 Punto Blanco,3,3,,600,0,0,1800,
**772 Punto Blanco,2,2,,380,0,0,760,
**780 Punto Blanco,3,3,,780,0,0,2340,
**782 Punto Blanco,3,3,,500,0,0,1500,
**791 Punto Blanco,8,8,,820,0,0,6560,
**792 Punto Blanco,6,6,,780,0,0,4680,
**793 Punto Blanco,19,19,,400,0,0,7600,bajo Aidee
**794 Punto Blanco,8,7,,850,1,850,5950,
**796 Punto Blanco,20,20,,400,0,0,8000,bajo Aidee
**797 Punto Blanco,2,2,,800,0,0,1600,
**798 Punto Blanco ,5,5,,400,0,0,2000,
