"modelo","provedor","marca","existencias","costo","nombre_prenda"
"5340 ","Nicoletta","Nicoletta",8,556,"Vestido"
"5425 ","Nicoletta","Nicoletta",17,745,"Vestido"
"5427 ","Nicoletta","Nicoletta",12,745,"Vestido"
"5441 ","Nicoletta","Nicoletta",8,470,"Vestido"
"5443 ","Nicoletta","Nicoletta",9,840,"Vestido"
"5445 ","Nicoletta","Nicoletta",2,825,"Vestido"
"5468 ","Nicoletta","Nicoletta",1,810,"Vestido"
"5469 ","Nicoletta","Nicoletta",3,795,"Vestido"
"5483 ","Nicoletta","Nicoletta",3,800,"Vestido"
"5488 ","Nicoletta","Nicoletta",10,700,"Vestido"
"5492 ","Nicoletta","Nicoletta",0,725,"Vestido"
"5493 ","Nicoletta","Nicoletta",5,795,"Vestido"
"5496 ","Nicoletta","Nicoletta",18,875,"Vestido"
"5497 ","Nicoletta","Nicoletta",5,775,"Vestido"
"5501 ","Nicoletta","Nicoletta",4,785,"Vestido"
"5504 ","Nicoletta","Nicoletta",7,830,"Vestido"
"5506 ","Nicoletta","Nicoletta",7,525,"Vestido"
"5508 ","Nicoletta","Nicoletta",47,600,"Vestido"
"5509 ","Nicoletta","Nicoletta",12,795,"Vestido"
"5518 ","Nicoletta","Nicoletta",17,845,"Vestido"
"5519 ","Nicoletta","Nicoletta",4,875,"Vestido"
"5522 ","Nicoletta","Nicoletta",6,795,"Vestido"
"5523 ","Nicoletta","Nicoletta",1,845,"Vestido"
"5528 ","Nicoletta","Nicoletta",1,950,"Vestido"
"5531 ","Nicoletta","Nicoletta",4,825,"Vestido"
"5535 ","Nicoletta","Nicoletta",8,895,"Vestido"
"5536 ","Nicoletta","Nicoletta",12,825,"Vestido"
"5539 ","Nicoletta","Nicoletta",11,840,"Vestido"
"5540 ","Nicoletta","Nicoletta",9,835,"Vestido"
"5543 ","Nicoletta","Nicoletta",14,790,"Vestido"
"5545 ","Nicoletta","Nicoletta",16,775,"Vestido"
"ASL-1240 ","Neon Nyx","Neon Nyx",2,2000,"Vestido"
"CC-1018 ","Neon Nyx","Neon Nyx",19,1700,"Vestido"
"CC-1277 ","Neon Nyx","Neon Nyx",5,1500,"Vestido"
"CC-1440 ","Neon Nyx","Neon Nyx",13,2050,"Vestido"
"CD-3222 ","Neon Nyx","Neon Nyx",11,2100,"Vestido"
"CD-14327 ","Neon Nyx","Neon Nyx",6,2400,"Vestido"
"CD-7664 ","Neon Nyx","Neon Nyx",6,2300,"Vestido"
"CDHK-9163 ","Neon Nyx","Neon Nyx",2,1000,"Vestido"
"CDJC-214 ","Neon Nyx","Neon Nyx",16,2050,"Vestido"
"CDJC-931 ","Neon Nyx","Neon Nyx",7,2350,"Vestido"
"EU-3090 ","Neon Nyx","Neon Nyx",15,1500,"Vestido"
"EU-3194 ","Neon Nyx","Neon Nyx",9,2000,"Vestido"
"NA-2692 ","Neon Nyx","Neon Nyx",2,1000,"Vestido"
"SP-8802 ","Neon Nyx","Neon Nyx",4,2850,"Vestido"
"SP-8815 ","Neon Nyx","Neon Nyx",13,1800,"Vestido"
"JE-2001 ","Neon Nyx","Neon Nyx",8,1800,"Vestido"
"001 ","Punto Blanco","Punto Blanco",8,350,"Vestido"
"306 ","Punto Blanco","Punto Blanco",1,200,"Vestido"
"0714 ","Punto Blanco","Punto Blanco",1,650,"Vestido"
"714 ","Punto Blanco","Punto Blanco",8,750,"Vestido"
"722 ","Punto Blanco","Punto Blanco",63,930,"Vestido"
"722 ","Punto Blanco","Punto Blanco",2,850,"Vestido"
"722 ","Punto Blanco","Punto Blanco",1,850,"Vestido"
"0725 ","Punto Blanco","Punto Blanco",6,530,"Vestido"
"730 ","Punto Blanco","Punto Blanco",20,930,"Vestido"
"750 ","Punto Blanco","Punto Blanco",12,800,"Vestido"
"757 ","Punto Blanco","Punto Blanco",6,650,"Vestido"
