modelo,existencias_ant,existencias,dev,precio,pzas_ve,to_ve,x_ve,desc
1053 Nyx,2,2,,100,0,0,200,
CC-1357 Nyx,5,5,,1200,0,0,6000,
CC-1440 Nyx,1,1,,2050,0,0,2050,
CD-0212 Nyx,1,1,,638,0,0,638,
3208 Nyx,1,1,,10,0,0,10,
CD-5052 Nyx,1,1,,10,0,0,10,
CD-7664 Nyx,7,7,,1660,0,0,11620,
CD-9041 Nyx,2,2,,100,0,0,200,
CDCF-158 Nyx,3,3,,1750,0,0,5250,
CDCF-114 Nyx,5,5,,1620,0,0,8100,
CDJC-214 Nyx,1,1,,2050,0,0,2050,
EU-3194 Nyx,6,6,,1500,0,0,9000,
SP-5228 NYX,11,11,,1000,0,0,11000,
SP-5515 NYX,5,5,,1000,0,0,5000,
5443 Nicoletta,22,21,,840,1,840,17640,
5469 Nicoletta,17,17,,795,0,0,13515,
5488 Nicoletta,18,14,,750,4,3000,10500,
5509 Nicoletta,13,13,,895,0,0,11635,
5545 Nicoletta,4,4,,775,0,0,3100,
5550 Nicoletta,4,4,,895,0,0,3580,
5551 Nicoletta,5,5,,950,0,0,4750,
5552 Nicoletta,43,37,4,945,2,1890,34965,
5553 Nicoletta,3,3,,875,0,0,2625,
5554 Nicoletta,10,9,,1000,1,1000,9000,
5557 Nicoletta,7,7,,1350,0,0,9450,
5558 Nicoletta,0,0,,900,0,0,0,
5563 Nicoletta,5,5,,925,0,0,4625,
5564 Nicoletta,14,14,,900,0,0,12600,
5566 Nicoletta,16,15,,935,1,935,14025,
5567 Nicoletta,4,4,,895,0,0,3580,
5571 Nicoletta,7,7,,950,0,0,6650,
5574 Nicoletta,6,6,,950,0,0,5700,
5577 Nicoletta,13,13,,975,0,0,12675,
5578 Nicoletta,15,15,,995,0,0,14925,
5579 Nicoletta,12,12,,750,0,0,9000,
5580 Nicoletta,12,12,,960,0,0,11520,
5582 Nicoletta,7,7,,950,0,0,6650,
5583 Nicoletta,8,8,,845,0,0,6760,
5587 Nicoletta,7,7,,950,0,0,6650,
5588 Nicoletta,5,5,,950,0,0,4750,
5589 Nicoletta,7,7,,925,0,0,6475,
5592 Nicoletta,9,9,,975,0,0,8775,
5593 Nicoletta,4,3,,600,1,600,1800,
5594 Nicoletta,13,13,,1000,0,0,13000,
5596 Nicoletta,16,16,,645,0,0,10320,
5498 Nicoletta,8,8,,450,0,0,3600,
5599 Nicoletta,18,13,,825,5,4125,10725,
5600 Nicoletta,9,8,,925,1,925,7400,
5601 Nicoletta,0,0,,900,0,0,0,
