Mod.,pza.inv.ant,Exi,Dv.,P.X uni,Pzas.ve,To.ve.,X. ve.,Obser.
5427 Nicoletta,4,4,,745,0,0,2980,
5441 Nicoletta,4,0,4,470,0,0,0,
5443 Nicoletta,13,10,,840,3,2520,8400,
5445 Nicoletta,31,29,1,875,1,875,25375,
5469 Nicoletta,19,19,,795,0,0,15105,
5475 Nicoletta,0,0,,550,0,0,0,
5477 Nicoletta,6,0,6,470,0,0,0,
5488 Micoletta,13,11,,750,2,1500,8250,
5504 Nicoletta,23,14,1,500,8,4000,7000,
5506 Nicoletta,3,1,2,525,0,0,525,
5508 Nicoletta,17,14,,600,3,1800,8400,
5519 Nicoletta,3,3,,875,0,0,2625,
5525 Nicoletta,6,6,,1000,0,0,6000,
5536 Nicoletta,0,0,,825,0,0,0,
5538 Nicoletta,6,6,,875,0,0,5250,
5539 Nicoletta,11,9,,900,2,1800,8100,
5549 Nicoletta,7,7,,925,0,0,6475,
5550 Nicoletta,3,1,,895,2,1790,895,
5551 Nicoletta,12,11,,950,1,950,10450,
5552 Nicoletta,8,5,,945,3,2835,4725,
5553 Nicoletta,11,4,,875,7,6125,3500,
5554 Nicoletta,7,6,,1100,1,1100,6600,
5557 Nicoletta,11,9,,1350,2,2700,12150,
5559 Nicoletta,4,2,,875,2,1750,1750,
5560 Nicoletta,7,6,,795,1,795,4770,
5561 Nicoletta,13,13,,925,0,0,12025,
5563 Nicoletta,2,0,2,925,0,0,0,
5566 Nicoletta,15,5,,935,10,9350,4675,
5567 Nicoletta,9,9,,895,0,0,8055,
5568 Nicoletta,9,8,,950,1,950,7600,
5571 Nicoletta,3,0,3,950,0,0,0,
5574 Nicoletta,2,0,2,950,0,0,0,
5576 Nicoletta,5,5,,950,0,0,4750,
5578 Nicoletta,20,16,,995,4,3980,15920,
5580 Nicoletta,18,17,,960,1,960,16320,
5582 Nicoletta,10,6,,950,4,3800,5700,
5583 Nicoletta,9,9,,845,0,0,7605,
5588 Nicoletta,11,11,,900,0,0,9900,
5589 Nicoletta,14,13,,925,1,925,12025,
5592 Nicoletta,14,12,,975,2,1950,11700,
5593 Nicoletta,10,8,,600,2,1200,4800,
5594 Nicoletta,16,16,,1000,0,0,16000,
5596 Nicoletta,16,16,,645,0,0,10320,
ASL-1419 NYX,7,4,,1500,3,4500,6000,
ASL-1423 NYX,6,4,,1300,2,2600,5200,
ASL-1704 Nyx,1,1,,1200,0,0,1200,
ASL-2011 Nyx,10,8,,1900,2,3800,15200,
CC-1018 Nyx,20,19,,1700,1,1700,32300,
CC-1277 Nyx,1,1,,1500,0,0,1500,
CC-1440 Nyx,8,7,,2050,1,2050,14350,
CC-1473 Nyx,9,9,,1750,0,0,15750,
CC-1474 Nyx,9,6,,1540,3,4620,9240,
CC-1475 Nyx,10,8,,1000,2,2000,8000,
CD-3222 Nyx,3,3,,2100,0,0,6300,
CD-14327 Nyx,0,0,,2400,0,0,0,
CD-7664 Nyx,9,9,,1660,0,0,14940,
CDHK-9163 Nyx,2,2,,1000,0,0,2000,
CDCD-711 Nyx,14,14,,1540,0,0,21560,
CDCE0010-Nyx,5,3,,2800,2,5600,8400,
CDCJ-0011 Nyx,10,10,,1940,0,0,19400,
CDJC-214 Nyx,1,1,,2050,0,0,2050,
CDJC-931 Nyx,8,8,,2350,0,0,18800,
CDCF-158 NYX,27,23,,1750,4,7000,40250,
EU-3090 Nyx,11,9,,1000,2,2000,9000,
GLL-1116 Nyx,3,3,,1200,0,0,3600,
GLL-1332 NYX,10,10,,1300,0,0,13000,
NA-070 Nyx,8,8,,2390,0,0,19120,
NA-5096 Nyx,7,7,,1940,0,0,13580,
NL-3647 Nyx,6,4,,1600,2,3200,6400,
NL-3664 Nyx,6,5,,1450,1,1450,7250,
NL-3747 Nyx,6,6,,1600,0,0,9600,
SP-7113 Nyx,5,5,,1940,0,0,9700,
SP-8802 Nyx,2,1,,2850,1,2850,2850,
JE-2001 Nyx,15,13,,1900,2,3800,24700,
LEQ-705 Nyx,8,8,,1540,0,0,12320,
**001 Punto Bco.,6,6,,350,0,0,2100,
0714 Punto Blanco,2,2,,650,0,0,1300,
**714 Punto Blanco,8,8,,750,0,0,6000,
**722 Pun.Blanco,38,36,,930,2,1860,33480,
**722 Broche P.B.,2,2,,850,0,0,1700,
**722 EstampadoPB,1,1,,850,0,0,850,
0725 Punto Blanco,3,3,,530,0,0,1590,
**730 Punto Blanco,26,24,,930,2,1860,22320,dev clienta
**750 Punto Blanco,12,12,,800,0,0,9600,bajo Aidee
**757 Punto Blanco,6,6,,650,0,0,3900,
**763 Punto Blanco,1,1,,600,0,0,600,
**765 Punto Bco.,39,36,,930,3,2790,33480,
**765 P.Bc0.bordad,3,3,,950,0,0,2850,
0770 Puno Blanco,1,1,,700,0,0,700,
0771 Punto Blanco,3,2,,600,1,600,1200,
**772 Punto Blanco,2,2,,380,0,0,760,
**780 Punto Blanco,13,13,,550,0,0,7150,
**782 Punto Blanco,3,3,,500,0,0,1500,
**791 Punto Blanco,3,3,,820,0,0,2460,
**792 Punto Blanco,4,2,,750,2,1500,1500,
