Mod.,Pza.mes ant,Exi,Dv.,P.X uni,Pzas.ve,To.ve.,X. ve.,Obser.
,,,,,0,0,0,
,,,,,0,0,0,
148 Bianchi,2,2,,"1,680",0,0,"3,360",
182 Bianchi,2,2,,500,0,0,"1,000",
262 Bianchi,3,3,,"1,200",0,0,"3,600",
264 Bianchi,1,1,,"1,150",0,0,"1,150",
266 Bianchi,3,3,,"1,000",0,0,"3,000",
274 Bianchi,3,3,,"1,180",0,0,"3,540",
276 Bianchi,4,4,,520,0,0,"2,080",
282 Bianchi,2,1,,623,1,623,623,
296 Bianchi,0,0,,"1,450",0,0,0,
306 Bianchi,4,3,,840,1,840,"2,520",
322 Bianchi,0,0,,665,0,0,0,
324 Bianchi,2,2,,826,0,0,"1,652",
338 Bianchi,1,1,,"1,130",0,0,"1,130",
344 Bianchi,7,7,,850,0,0,"5,950",
346 Bianchi,0,0,,800,0,0,0,
352 Bianchi,2,2,,245,0,0,490,
356 Bianchi,6,6,,600,0,0,"3,600",
362 Bianchi,1,1,,840,0,0,840,
374 Bianchi,1,1,,700,0,0,700,
380 Bianchi,5,5,,"1,180",0,0,"5,900",
432 Bianchi,1,1,,"1,230",0,0,"1,230",a Bianca 27jul
444 Bianchi,8,7,,"1,100",1,"1,100","7,700",
482 Bianchi,1,1,,"1,100",0,0,"1,100",
484 Bianchi,0,0,,756,0,0,0,
506 Bianchi,3,3,,"1,200",0,0,"3,600",
514 Bianchi,6,6,,770,0,0,"4,620",
580 Bianchi,1,1,,600,0,0,600,
604 Bianchi,7,7,,"1,200",0,0,"8,400",
616 Bianchi,4,4,,"1,000",0,0,"4,000",
620 Bianchi,1,1,,"1,100",0,0,"1,100",
626 Bianchi,2,2,,900,0,0,"1,800",
634 Bianchi,3,3,,"1,100",0,0,"3,300",
640 A Bianchi,3,3,,"1,200",0,0,"3,600",518
640 Bianchi,1,1,,840,0,0,840,
662 Bianchi,2,2,,600,0,0,"1,200",
700 Bianchi,4,4,,630,0,0,"2,520",
702 Bianchi,4,4,,860,0,0,"3,440",
726 Bianchi,1,1,,"1,350",0,0,"1,350",
748 Bianchi,1,1,,630,0,0,630,
