Mod.,pza.inv.ant,Exi,Dv.,costo x uni,Pzas.ve,To.ve.,X. ve.,Obser.
1053 Nyx,2,2,,100,0,0,200,
ASL-2011 Nyx,9,9,,1900,0,0,17100,
CC-1357 Nyx,5,5,,1200,0,0,6000,
CC-1440 Nyx,1,1,,2050,0,0,2050,
CC-1474 NYX,10,10,,1000,0,0,10000,
CC-1538 NYX,9,8,,1400,1,1400,11200,
CD-0212 Nyx,1,1,,638,0,0,638,
3208 Nyx,1,1,,10,0,0,10,
CD-5052 Nyx,1,1,,10,0,0,10,
CD-7664 Nyx,7,7,,1660,0,0,11620,
CD-9041 Nyx,2,2,,100,0,0,200,
CDCF-158 Nyx,18,16,,1700,2,3400,27200,
CDCF-114 Nyx,12,11,,1560,1,1560,17160,
CDJC-214 Nyx,1,1,,2050,0,0,2050,
5443 Nicoletta,17,15,,840,2,1680,12600,
5445 Nicoletta,20,20,,1000,0,0,20000,
5469 Nicoletta,14,14,,795,0,0,11130,
5488 Nicoletta,16,16,,750,0,0,12000,
5509 Nicoletta,11,11,,895,0,0,9845,
5539 Nicoletta,11,10,,900,1,900,9000,
5545 Nicoletta,4,4,,775,0,0,3100,
5550 Nicoletta,4,4,,895,0,0,3580,
5551 Nicoletta,5,5,,950,0,0,4750,
5552 Nicoletta,12,12,,945,0,0,11340,
5553 Nicoletta,14,14,,875,0,0,12250,
5554 Nicoletta,3,3,,1000,0,0,3000,
5557 Nicoletta,10,10,,1350,0,0,13500,
5563 Nicoletta,6,6,,925,0,0,5550,
5564 Nicoletta,12,11,,900,1,900,9900,
5566 Nicoletta,35,35,,935,0,0,32725,
5567 Nicoletta,5,5,,895,0,0,4475,
5571 Nicoletta,5,5,,950,0,0,4750,
5574 Nicoletta,19,19,,950,0,0,18050,
5577 Nicoletta,10,9,,975,1,975,8775,
5579 Nicoletta,12,9,,750,3,2250,6750,
5580 Nicoletta,12,12,,960,0,0,11520,
5582 Nicoletta,7,7,,950,0,0,6650,
5583 Nicoletta,12,12,,845,0,0,10140,
5584 Nicoletta,12,12,,1000,0,0,12000,
5587 Nicoletta,3,3,,950,0,0,2850,
5588 Nicoletta,5,5,,950,0,0,4750,
5589 Nicoletta,7,7,,925,0,0,6475,
5592 Nicoletta,6,6,,975,0,0,5850,
5593 Nicoletta,7,6,,600,1,600,3600,
5594 Nicoletta,11,10,,1000,1,1000,10000,
5596 Nicoletta,11,11,,645,0,0,7095,
5498 Nicoletta,4,4,,450,0,0,1800,
5599 Nicoletta,17,16,,825,1,825,13200,
5600 Nicoletta,5,5,,925,0,0,4625,
5601 Nicoletta,15,15,,925,0,0,13875,
5603 Nicoletta,12,11,,650,1,650,7150,
5605 Nicoletta,8,8,,790,0,0,6320,
5606 Nicoletta,5,5,,950,0,0,4750,
5607 Nicoletta,12,12,,950,0,0,11400,
5609 Nicoletta,11,10,,975,1,975,9750,
5610 Nicoletta,4,4,,995,0,0,3980,
5611 Nicoletta,13,13,,925,0,0,12025,
5623 Nicoletta,12,12,,1000,0,0,12000,
**722 PunBco,23,23,,930,0,0,21390,
**0730 PntoBco,28,28,,780,0,0,21840,
0755 PuntoBco,2,2,,550,0,0,1100,
**765 PunBco,25,25,,930,0,0,23250,EXTRA AZUL REY
**794 Pun.Bco,13,10,,850,3,2550,8500,
**811 Pun.Bco,11,11,,860,0,0,9460,
**815 Pun.Bco.,7,6,,1100,1,1100,6600,
**819 Pun.Bco.,11,11,,850,0,0,9350,
**825 Pun.Bco.,3,3,,800,0,0,2400,
827 Pun.Bco,8,6,,850,2,1700,5100,
**832 Pun .Bco,22,22,,700,0,0,15400,
**833 Pun .Bco,3,3,,880,0,0,2640,
**834 Pun.B cort,8,8,,730,0,0,5840,
**834 Pun.Bco,4,4,,930,0,0,3720,
**835 Pun.Bco,1,1,,830,0,0,830,
836 Pun Bco,4,4,,800,0,0,3200,
**837 Pun .Bco,7,7,,850,0,0,5950,
**841 Pun.Bco,9,9,,900,0,0,8100,
**840 Pun Bco,17,17,,850,0,0,14450,
**842 Pun.Bco,1,1,,800,0,0,800,
**844 Pun.Bco,5,5,,800,0,0,4000,
**847 Pun.Bco,18,18,,820,0,0,14760,
**850 Pun Bco,19,19,,900,0,0,17100,
**851T Pun Bco,4,4,,920,0,0,3680,
852 Pun Bco,4,3,,1100,1,1100,3300,
854 Pun Bco,0,0,,850,0,0,0,
855 Pun Bco,3,3,,850,0,0,2550,
856 Pun Bco,2,2,,800,0,0,1600,
**857 Pun Bco,5,5,,900,0,0,4500,
***Chal Pun.Bco,20,20,,130,0,0,2600,
**chal pun bco,1,1,,60,0,0,60,
2096 Lessan,3,3,,650,0,0,1950,
3956 Lessan,7,7,,400,0,0,2800,
3979 Lessan,7,4,,900,3,2700,3600,
4024 Lessan,15,15,,790,0,0,11850,
4036 Lessan,8,8,,620,0,0,4960,
4037 Lessan,9,9,,750,0,0,6750,
4053 Lessan,3,3,,540,0,0,1620,
4150 Lessan,6,6,,900,0,0,5400,
4174 Lessan,2,2,,999,0,0,1998,
4188 Lessan,4,4,,740,0,0,2960,
4189 Lessan,4,4,,990,0,0,3960,
4192 Lessan,4,4,,1150,0,0,4600,
4218 Lessan,5,5,,720,0,0,3600,
4224 Lessan,4,4,,1180,0,0,4720,
4264 Lessan,5,5,,800,0,0,4000,
4268 Lessan,4,4,,1100,0,0,4400,
4285 Lessan,8,8,,1100,0,0,8800,
4312 Lessan,2,2,,850,0,0,1700,
4340 Lessan,4,3,,960,1,960,2880,
4342 Lessan,2,2,,1200,0,0,2400,
4351 Lessan,6,5,,850,1,850,4250,
4357 Lessan,4,3,,1700,1,1700,5100,
4365 Lessan,1,1,,1200,0,0,1200,
4373 Lessan,5,5,,845,0,0,4225,
4395 Lessan,4,4,,1045,0,0,4180,
4405 Lessan,7,7,,975,0,0,6825,
4416 Lessan,7,7,,769,0,0,5383,
4431 Lessan,3,3,,1650,0,0,4950,
4443 Lessan,4,4,,1870,0,0,7480,
4446 Lessan,3,3,,810,0,0,2430,
4447 Lessan,4,4,,979,0,0,3916,
4469 Lessan,4,4,,1240,0,0,4960,
4478 Lessan,4,3,,1050,1,1050,3150,
4500 Lessan,4,4,,550,0,0,2200,
4517 Lessan,4,4,,1050,0,0,4200,
4530 Lessan,5,5,,745,0,0,3725,
4542 Lessan,3,3,,999,0,0,2997,
14053 Lessan,4,4,,800,0,0,3200,
002 Interno,7,5,,1300,2,2600,6500,
004 Interno,4,4,,1150,0,0,4600,
006 Interno,15,13,,1050,2,2100,13650,
007 Interno,7,7,,1150,0,0,8050,
009 Interno,12,11,,1115,1,1115,12265,
012 Interno,4,4,,900,0,0,3600,
014 Interno,15,13,,925,2,1850,12025,
015 Interno,13,12,,1125,1,1125,13500,
9100 Eli Corame,6,6,,600,0,0,3600,
9071 Eli Corame,3,3,,600,0,0,1800,
9201 Eli Corame,6,6,,600,0,0,3600,
9320 Eli Corame,8,8,,600,0,0,4800,
9375 Eli Corame,6,6,,600,0,0,3600,
9388 Eli Corame,1,1,,500,0,0,500,
9395 Eli Corame,7,7,,500,0,0,3500,
9399 Eli Corame,2,2,,500,0,0,1000,
1425 Cocoon,23,23,,210,0,0,4830,
1025 Cocoon,2,2,,105,0,0,210,
1132 Libertad,4,4,,600,0,0,2400,
1220 Libertad,1,1,,650,0,0,650,
1240 Libertad,8,8,,650,0,0,5200,
1551 Libertad,6,6,,600,0,0,3600,
