Mod.,pza.inv.ant,Exi,Dv.,costo x uni,Pzas.ve,To.ve.,X. ve.,Obser.
,,,,,,,,
,,,,,0,0,0,
1053 Nyx,2,2,,100,0,0,200,
CC-1440 Nyx,1,1,,2050,0,0,2050,
CD-0212 Nyx,1,1,,638,0,0,638,
3208 Nyx,1,1,,10,0,0,10,
CD-5052 Nyx,1,1,,10,0,0,10,
CD-9041 Nyx,2,2,,100,0,0,200,
CDJC-214 Nyx,0,0,,2050,0,0,0,
,,,,,0,0,0,
SP-5228 NYX,13,13,,1000,0,0,13000,
SP-5515 NYX,8,7,,1000,1,1000,7000,
,,,,,0,0,0,
5443 Nicoletta,10,9,,840,1,840,7560,
5445 Nicoletta,1,0,,875,1,875,0,
5469 Nicoletta,26,23,,795,3,2385,18285,
5475 Nicoletta,1,1,,550,0,0,550,
5488 Nicoletta,9,9,,750,0,0,6750,
5504 Nicoletta,15,12,1,500,2,1000,6000,
5509 Nicoletta,7,7,,795,0,0,5565,
5514 Nicoletta,4,4,,785,0,0,3140,
5537 Nicoletta,5,5,,475,0,0,2375,
5539 Nicoletta,4,3,,900,1,900,2700,
5543 Nicoletta,18,17,,840,1,840,14280,
5545 Nicoletta,7,7,,775,0,0,5425,
5549 Nicoletta,6,6,,925,0,0,5550,
5550 Nicoletta,5,4,,895,1,895,3580,
5551 Nicoletta,11,11,,950,0,0,10450,
5552 Nicoletta,14,11,,945,3,2835,10395,
5553 Nicoletta,9,8,,875,1,875,7000,
5554 Nicoletta,13,9,4,1000,0,0,9000,
5557 Nicoletta,9,8,,1350,1,1350,10800,
5558 Nicoletta,5,5,,900,0,0,4500,
5559 Nicoletta,2,0,2,875,0,0,0,
5560 Nicoletta,7,0,7,900,0,0,0,
5561 Nicoletta,8,0,8,925,0,0,0,
5563 Nicoletta,10,9,,925,1,925,8325,
5564 Nicoletta,4,4,,900,0,0,3600,
5566 Nicoletta,3,0,,935,3,2805,0,
5567 Nicoletta,5,5,,895,0,0,4475,
5568 Nicoletta,5,0,5,950,0,0,0,
5571 Nicoletta,11,11,,950,0,0,10450,
5574 Nicoletta,7,7,,950,0,0,6650,
5576 Nicoletta,11,11,,950,0,0,10450,
5578 Nicoletta,15,15,,995,0,0,14925,
5580 Nicoletta,13,13,,960,0,0,12480,
