modelo,nombre,n_existencias,precio,descripcion,id_proveedor,id_marca,costo,id_tienda,notas
5427,Nicoletta,4,1490.00,"",7,8,745.00,1,""
5441,Nicoletta,0,940.00,"",7,8,470.00,1,""
5443,Nicoletta,10,1680.00,"",7,8,840.00,1,""
5445,Nicoletta,29,1750.00,"",7,8,875.00,1,""
5469,Nicoletta,19,1590.00,"",7,8,795.00,1,""
5475,Nicoletta,0,1100.00,"",7,8,550.00,1,""
5477,Nicoletta,0,940.00,"",7,8,470.00,1,""
5488,Nicoletta,11,1500.00,"",7,8,750.00,1,""
5504,Nicoletta,14,1000.00,"",7,8,500.00,1,""
5506,Nicoletta,1,1050.00,"",7,8,525.00,1,""
5508,Nicoletta,14,1200.00,"",7,8,600.00,1,""
5519,Nicoletta,3,1750.00,"",7,8,875.00,1,""
5525,Nicoletta,6,2000.00,"",7,8,1000.00,1,""
5536,Nicoletta,0,1650.00,"",7,8,825.00,1,""
5538,Nicoletta,6,1750.00,"",7,8,875.00,1,""
5539,Nicoletta,9,1800.00,"",7,8,900.00,1,""
5549,Nicoletta,7,1850.00,"",7,8,925.00,1,""
5550,Nicoletta,1,1790.00,"",7,8,895.00,1,""
5551,Nicoletta,11,1900.00,"",7,8,950.00,1,""
5552,Nicoletta,5,1890.00,"",7,8,945.00,1,""
5553,Nicoletta,4,1750.00,"",7,8,875.00,1,""
5554,Nicoletta,6,2200.00,"",7,8,1100.00,1,""
5557,Nicoletta,9,2700.00,"",7,8,1350.00,1,""
5559,Nicoletta,2,1750.00,"",7,8,875.00,1,""
5560,Nicoletta,6,1590.00,"",7,8,795.00,1,""
5561,Nicoletta,13,1850.00,"",7,8,925.00,1,""
5563,Nicoletta,0,1850.00,"",7,8,925.00,1,""
5566,Nicoletta,5,1870.00,"",7,8,935.00,1,""
5567,Nicoletta,9,1790.00,"",7,8,895.00,1,""
5568,Nicoletta,8,1900.00,"",7,8,950.00,1,""
5571,Nicoletta,0,1900.00,"",7,8,950.00,1,""
5574,Nicoletta,0,1900.00,"",7,8,950.00,1,""
5576,Nicoletta,5,1900.00,"",7,8,950.00,1,""
5578,Nicoletta,16,1990.00,"",7,8,995.00,1,""
5580,Nicoletta,17,1920.00,"",7,8,960.00,1,""
5582,Nicoletta,6,1900.00,"",7,8,950.00,1,""
5583,Nicoletta,9,1690.00,"",7,8,845.00,1,""
5588,Nicoletta,11,1800.00,"",7,8,900.00,1,""
5589,Nicoletta,13,1850.00,"",7,8,925.00,1,""
5592,Nicoletta,12,1950.00,"",7,8,975.00,1,""
5593,Nicoletta,8,1200.00,"",7,8,600.00,1,""
5594,Nicoletta,16,2000.00,"",7,8,1000.00,1,""
5596,Nicoletta,16,1290.00,"",7,8,645.00,1,""
ASL-1419,Neon Nyx,4,3000.00,"",6,7,1500.00,1,""
ASL-1423,Neon Nyx,4,2600.00,"",6,7,1300.00,1,""
ASL-1704,Neon Nyx,1,2400.00,"",6,7,1200.00,1,""
ASL-2011,Neon Nyx,8,3800.00,"",6,7,1900.00,1,""
CC-1018,Neon Nyx,19,3400.00,"",6,7,1700.00,1,""
CC-1277,Neon Nyx,1,3000.00,"",6,7,1500.00,1,""
CC-1440,Neon Nyx,7,4100.00,"",6,7,2050.00,1,""
CC-1473,Neon Nyx,9,3500.00,"",6,7,1750.00,1,""
CC-1474,Neon Nyx,6,3080.00,"",6,7,1540.00,1,""
CC-1475,Neon Nyx,8,2000.00,"",6,7,1000.00,1,""
CD-3222,Neon Nyx,3,4200.00,"",6,7,2100.00,1,""
CD-14327,Neon Nyx,0,4800.00,"",6,7,2400.00,1,""
CD-7664,Neon Nyx,9,3320.00,"",6,7,1660.00,1,""
CDHK-9163,Neon Nyx,2,2000.00,"",6,7,1000.00,1,""
CDCD-711,Neon Nyx,14,3080.00,"",6,7,1540.00,1,""
CDCE0010-Nyx,No Especificado,3,5600.00,"",11,12,2800.00,1,""
CDCJ-0011,Neon Nyx,10,3880.00,"",6,7,1940.00,1,""
