"modelo","n_existencias","precio","descripcion","id_proveedor","id_marca","costo","id_tienda","notas"
"148",1,3360,"",10,11,1680,3,""
"182",5,2000,"",10,11,1000,3,""
"262",6,2400,"",10,11,1200,3,""
"264",1,2300,"",10,11,1150,3,""
"266",4,2000,"",10,11,1000,3,""
"274",5,2360,"",10,11,1180,3,""
"276",4,1040,"",10,11,520,3,""
"282",3,1780,"",10,11,890,3,""
"296",1,2900,"",10,11,1450,3,""
"306",6,2360,"",10,11,1180,3,""
"322",3,1900,"",10,11,950,3,""
"324",2,2360,"",10,11,1180,3,""
"332",0,2200,"",10,11,1100,3,""
"332",1,700,"",10,11,350,3,""
"338",1,2260,"",10,11,1130,3,""
"344",12,1700,"",10,11,850,3,""
"346",1,1600,"",10,11,800,3,""
"352",3,700,"",10,11,350,3,""
"356",7,2400,"",10,11,1200,3,""
"362",4,2400,"",10,11,1200,3,""
"374",2,2000,"",10,11,1000,3,""
"380",7,2360,"",10,11,1180,3,""
"398",0,2200,"",10,11,1100,3,""
"400",0,2000,"",10,11,1000,3,""
"432",1,2460,"a Bianca 27jul",10,11,1230,3,""
"444",9,2200,"",10,11,1100,3,""
"450",0,1800,"",10,11,900,3,""
"466",1,2600,"",10,11,1300,3,""
"482",1,2200,"",10,11,1100,3,""
"484",1,1900,"",10,11,950,3,""
"506",7,2400,"",10,11,1200,3,""
"508",6,1800,"",10,11,900,3,""
"514",9,2200,"",10,11,1100,3,""
"530",1,1900,"",10,11,950,3,""
"580",1,2400,"",10,11,1200,3,""
"604",10,2400,"",10,11,1200,3,""
"616",8,2000,"",10,11,1000,3,""
"620",1,2200,"",10,11,1100,3,""
"626",5,1800,"",10,11,900,3,""
"634",4,2200,"",10,11,1100,3,""
"640",4,2400,"518",10,11,1200,3,""
"640",4,2400,"",10,11,1200,3,""
"698",0,1920,"",10,11,960,3,""
"702",12,1720,"",10,11,860,3,""
"706",1,1900,"",10,11,950,3,""
"726",3,2700,"",10,11,1350,3,""
"762",6,2300,"",10,11,1150,3,""
"772",2,1900,"",10,11,950,3,""
"774",9,1760,"",10,11,880,3,""
"776",1,2400,"",10,11,1200,3,""
"840",3,2100,"",10,11,1050,3,""
"860",3,2200,"",10,11,1100,3,""
"874",3,2300,"",10,11,1150,3,""
"1246",1,2360,"",10,11,1180,3,""
"1342",1,1800,"",10,11,900,3,""
"1518",7,2400,"",10,11,1200,3,""
"3999",1,500,"",10,11,250,3,""
"4271",2,1470,"",10,11,735,3,""
"4393",1,400,"",10,11,200,3,""
