"modelo","n_existencias","precio","descripcion","id_proveedor","id_marca","costo","id_tienda","notas"
"1053",2,200,"",6,7,100,4,""
"CC-1440",1,4100,"",6,7,2050,4,""
"CD-0212",1,1276,"",6,7,638,4,""
"3208",1,20,"",6,7,10,4,""
"CD-5052",1,20,"",6,7,10,4,""
"CD-9041",2,200,"",6,7,100,4,""
"CDJC-214",0,4100,"",6,7,2050,4,""
"SP-5228",13,2000,"",6,7,1000,4,""
"SP-5515",7,2000,"",6,7,1000,4,""
"5443",9,1680,"",7,8,840,4,""
"5445",0,1750,"",7,8,875,4,""
"5469",23,1590,"",7,8,795,4,""
"5475",1,1100,"",7,8,550,4,""
"5488",9,1500,"",7,8,750,4,""
"5504",12,1000,"",7,8,500,4,""
"5509",7,1590,"",7,8,795,4,""
"5514",4,1570,"",7,8,785,4,""
"5537",5,950,"",7,8,475,4,""
"5539",3,1800,"",7,8,900,4,""
"5543",17,1680,"",7,8,840,4,""
"5545",7,1550,"",7,8,775,4,""
"5549",6,1850,"",7,8,925,4,""
"5550",4,1790,"",7,8,895,4,""
"5551",11,1900,"",7,8,950,4,""
"5552",11,1890,"",7,8,945,4,""
"5553",8,1750,"",7,8,875,4,""
"5554",9,2000,"",7,8,1000,4,""
"5557",8,2700,"",7,8,1350,4,""
"5558",5,1800,"",7,8,900,4,""
"5559",0,1750,"",7,8,875,4,""
"5560",0,1800,"",7,8,900,4,""
"5561",0,1850,"",7,8,925,4,""
"5563",9,1850,"",7,8,925,4,""
"5564",4,1800,"",7,8,900,4,""
"5566",0,1870,"",7,8,935,4,""
"5567",5,1790,"",7,8,895,4,""
"5568",0,1900,"",7,8,950,4,""
"5571",11,1900,"",7,8,950,4,""
"5574",7,1900,"",7,8,950,4,""
"5576",11,1900,"",7,8,950,4,""
"5578",15,1990,"",7,8,995,4,""
"5580",13,1920,"",7,8,960,4,""
"5582",11,1900,"",7,8,950,4,""
"5583",4,1690,"",7,8,845,4,""
"5587",17,1900,"",7,8,950,4,""
"5588",6,1900,"",7,8,950,4,""
"5589",13,1850,"",7,8,925,4,""
"5592",9,1950,"",7,8,975,4,""
"5593",6,1200,"",7,8,600,4,""
"5594",12,2000,"",7,8,1000,4,""
"5596",15,1290,"",7,8,645,4,""
"306",1,400,"bajo Aidee",8,9,200,4,""
"314",5,500,"bajo Aidee",8,9,250,4,""
"313",7,500,"bajo Aidee",8,9,250,4,""
"722",14,1860,"",8,9,930,4,""
"0725",4,1060,"",8,9,530,4,""
"0730",35,1700,"",8,9,850,4,""
"0752",1,1500,"",8,9,750,4,""
"0755",2,1100,"",8,9,550,4,""
"765",39,1860,"",8,9,930,4,""
"772",3,1500,"",10,11,750,4,""
"774",4,1400,"",8,9,700,4,""
"780",8,1560,"",8,9,780,4,""
"790",5,1400,"",8,9,700,4,""
"791",8,1640,"",8,9,820,4,""
"794",12,1700,"",8,9,850,4,""
"797",0,1600,"",8,9,800,4,""
"799",13,1600,"",8,9,800,4,""
"801",5,960,"",8,9,480,4,""
"804",3,1200,"bajo Aidee",8,9,600,4,""
"805",6,1360,"",8,9,680,4,""
"807",4,1200,"bajo Aidee",8,9,600,4,""
"810",2,1640,"",8,9,820,4,""
"811",7,1720,"",8,9,860,4,""
"812",4,1700,"",8,9,850,4,""
"815",8,2200,"",8,9,1100,4,""
"816",0,1700,"",8,9,850,4,""
"819",10,1700,"",8,9,850,4,""
"825",3,1600,"",8,9,800,4,""
"826",5,1500,"",8,9,750,4,""
"827",5,1600,"",8,9,800,4,""
"829",2,1700,"",8,9,850,4,""
"831",3,1600,"",8,9,800,4,""
"833",3,1760,"",8,9,880,4,""
"834",21,1460,"",8,9,730,4,""
"834",4,1860,"",8,9,930,4,""
"835",2,1660,"",8,9,830,4,""
"836",0,1860,"",8,9,930,4,""
"837",4,1400,"",8,9,700,4,""
"839",3,1600,"",8,9,800,4,""
"841",11,1800,"",8,9,900,4,""
"840",20,1700,"",8,9,850,4,""
"842",5,1600,"",8,9,800,4,""
"844",10,1600,"",8,9,800,4,""
"847",14,1640,"",8,9,820,4,""
"848",9,1860,"",8,9,930,4,""
"849",1,1100,"",8,9,550,4,""
"850",0,1700,"",8,9,850,4,""
"851",0,1700,"",8,9,850,4,""
"851T",2,1840,"",8,9,920,4,""
"852",6,2200,"",8,9,1100,4,""
"853",4,1500,"",8,9,750,4,""
"Chal",20,260,"",8,9,130,4,""
"chal",1,120,"",1,1,60,4,""
"2096",2,1080,"",4,4,540,4,""
