"modelo","n_existencias","precio","descripcion","id_proveedor","id_marca","costo","id_tienda","notas","articulo"
"148",2,3360,"",10,11,1680,3,"","Prenda"
"182",5,1000,"",10,11,500,3,"","Prenda"
"262",7,1200,"",10,11,600,3,"","Prenda"
"264",1,2300,"",10,11,1150,3,"","Prenda"
"266",3,2000,"",10,11,1000,3,"","Prenda"
"274",4,2360,"",10,11,1180,3,"","Prenda"
"276",4,1040,"",10,11,520,3,"","Prenda"
"282",2,1246,"",10,11,623,3,"","Prenda"
"296",1,2900,"",10,11,1450,3,"","Prenda"
"306",5,1680,"",10,11,840,3,"","Prenda"
"322",3,1330,"",10,11,665,3,"","Prenda"
"324",2,1652,"",10,11,826,3,"","Prenda"
"332",0,2200,"",8,9,1100,3,"","Prenda"
"332",0,700,"",5,5,350,3,"","Prenda"
"338",1,2260,"",10,11,1130,3,"","Prenda"
"344",10,1700,"",10,11,850,3,"","Prenda"
"346",1,1600,"",10,11,800,3,"","Prenda"
"352",2,490,"",10,11,245,3,"","Prenda"
"356",7,1200,"",10,11,600,3,"","Prenda"
"362",1,1680,"",10,11,840,3,"","Prenda"
"374",2,1400,"",10,11,700,3,"","Prenda"
"380",6,2360,"",10,11,1180,3,"","Prenda"
"432",1,2460,"a Bianca 27jul",10,11,1230,3,"","Prenda"
"444",9,2200,"",10,11,1100,3,"","Prenda"
"482",1,2200,"",10,11,1100,3,"","Prenda"
"484",1,1512,"",10,11,756,3,"","Prenda"
"506",3,2400,"",10,11,1200,3,"","Prenda"
"508",0,600,"",10,11,300,3,"","Prenda"
"514",11,1540,"",10,11,770,3,"","Prenda"
"530",1,1330,"",10,11,665,3,"","Prenda"
"580",3,1200,"",10,11,600,3,"","Prenda"
"604",7,2400,"",10,11,1200,3,"","Prenda"
"616",6,2000,"",10,11,1000,3,"","Prenda"
"620",1,2200,"",10,11,1100,3,"","Prenda"
"626",4,1800,"",10,11,900,3,"","Prenda"
"634",4,2200,"",10,11,1100,3,"","Prenda"
"640",3,2400,"518",1,1,1200,3,"","Prenda"
"640",1,1680,"",10,11,840,3,"","Prenda"
"662",4,1200,"",10,11,600,3,"","Prenda"
"700",1,1260,"",10,11,630,3,"","Prenda"
"702",7,1720,"",10,11,860,3,"","Prenda"
"726",2,2700,"",10,11,1350,3,"","Prenda"
"748",10,1260,"",10,11,630,3,"","Prenda"
"762",5,2300,"",10,11,1150,3,"","Prenda"
"766",5,1120,"",10,11,560,3,"","Prenda"
"768",4,1750,"",10,11,875,3,"","Prenda"
"772",1,1330,"",10,11,665,3,"","Prenda"
"774",10,1760,"",10,11,880,3,"","Prenda"
"776",1,1680,"",10,11,840,3,"","Prenda"
"814",5,2000,"",10,11,1000,3,"","Prenda"
"840",2,1050,"",10,11,525,3,"","Prenda"
"858",5,2000,"",10,11,1000,3,"","Prenda"
"860",5,2200,"",10,11,1100,3,"","Prenda"
"864",6,2200,"",10,11,1100,3,"","Prenda"
"872",3,1600,"",10,11,800,3,"","Prenda"
"874",3,2300,"",10,11,1150,3,"","Prenda"
"892",5,1600,"",10,11,800,3,"","Prenda"
"924",10,2600,"",10,11,1300,3,"","Prenda"
"942",5,2400,"",10,11,1200,3,"","Prenda"
"944",2,2300,"",10,11,1150,3,"","Prenda"
"954",8,2230,"",10,11,1115,3,"","Prenda"
"1246",1,2360,"",10,11,1180,3,"","Prenda"
"1342",1,1800,"",10,11,900,3,"","Prenda"
"1518",5,2400,"",10,11,1200,3,"","Prenda"
"1706",3,2000,"",10,11,1000,3,"","Prenda"
"2518",4,2400,"",10,11,1200,3,"","Prenda"
"3999",1,500,"",10,11,250,3,"","Prenda"
"4271",2,1470,"",10,11,735,3,"","Prenda"
"4393",1,400,"",10,11,200,3,"","Prenda"
"4497",12,1260,"",10,11,630,3,"","Prenda"
"4735",3,700,"",10,11,350,3,"","Prenda"
"4839",11,1190,"",10,11,595,3,"","Prenda"
"4877",5,734,"",10,11,367,3,"","Prenda"
