"modelo","n_existencias","precio","descripcion","id_proveedor","id_marca","costo","id_tienda","notas","articulo"
"1053",2,200,"",6,7,100,4,"","Prenda"
"ASL-2011",9,3800,"",6,7,1900,4,"","Prenda"
"CC-1357",5,2400,"",6,7,1200,4,"","Prenda"
"CC-1440",1,4100,"",6,7,2050,4,"","Prenda"
"CC-1474",10,2000,"",6,7,1000,4,"","Prenda"
"CC-1538",8,2800,"",6,7,1400,4,"","Prenda"
"CD-0212",1,1276,"",6,7,638,4,"","Prenda"
"3208",1,20,"",6,7,10,4,"","Prenda"
"CD-5052",1,20,"",6,7,10,4,"","Prenda"
"CD-7664",7,3320,"",6,7,1660,4,"","Prenda"
"CD-9041",2,200,"",6,7,100,4,"","Prenda"
"CDCF-158",16,3400,"",6,7,1700,4,"","Prenda"
"CDCF-114",11,3120,"",6,7,1560,4,"","Prenda"
"CDJC-214",1,4100,"",6,7,2050,4,"","Prenda"
"5443",15,1680,"",7,8,840,4,"","Prenda"
"5445",20,2000,"",7,8,1000,4,"","Prenda"
"5469",14,1590,"",7,8,795,4,"","Prenda"
"5488",16,1500,"",7,8,750,4,"","Prenda"
"5509",11,1790,"",7,8,895,4,"","Prenda"
"5539",10,1800,"",7,8,900,4,"","Prenda"
"5545",4,1550,"",7,8,775,4,"","Prenda"
"5550",4,1790,"",7,8,895,4,"","Prenda"
"5551",5,1900,"",7,8,950,4,"","Prenda"
"5552",12,1890,"",7,8,945,4,"","Prenda"
"5553",14,1750,"",7,8,875,4,"","Prenda"
"5554",3,2000,"",7,8,1000,4,"","Prenda"
"5557",10,2700,"",7,8,1350,4,"","Prenda"
"5563",6,1850,"",7,8,925,4,"","Prenda"
"5564",11,1800,"",7,8,900,4,"","Prenda"
"5566",35,1870,"",7,8,935,4,"","Prenda"
"5567",5,1790,"",7,8,895,4,"","Prenda"
"5571",5,1900,"",7,8,950,4,"","Prenda"
"5574",19,1900,"",7,8,950,4,"","Prenda"
"5577",9,1950,"",7,8,975,4,"","Prenda"
"5579",9,1500,"",7,8,750,4,"","Prenda"
"5580",12,1920,"",7,8,960,4,"","Prenda"
"5582",7,1900,"",7,8,950,4,"","Prenda"
"5583",12,1690,"",7,8,845,4,"","Prenda"
"5584",12,2000,"",7,8,1000,4,"","Prenda"
"5587",3,1900,"",7,8,950,4,"","Prenda"
"5588",5,1900,"",7,8,950,4,"","Prenda"
"5589",7,1850,"",7,8,925,4,"","Prenda"
"5592",6,1950,"",7,8,975,4,"","Prenda"
"5593",6,1200,"",7,8,600,4,"","Prenda"
"5594",10,2000,"",7,8,1000,4,"","Prenda"
"5596",11,1290,"",7,8,645,4,"","Prenda"
"5498",4,900,"",7,8,450,4,"","Prenda"
"5599",16,1650,"",7,8,825,4,"","Prenda"
"5600",5,1850,"",7,8,925,4,"","Prenda"
"5601",15,1850,"",7,8,925,4,"","Prenda"
"5603",11,1300,"",7,8,650,4,"","Prenda"
"5605",8,1580,"",7,8,790,4,"","Prenda"
"5606",5,1900,"",7,8,950,4,"","Prenda"
"5607",12,1900,"",7,8,950,4,"","Prenda"
"5609",10,1950,"",7,8,975,4,"","Prenda"
"5610",4,1990,"",7,8,995,4,"","Prenda"
"5611",13,1850,"",7,8,925,4,"","Prenda"
"5623",12,2000,"",7,8,1000,4,"","Prenda"
"**722",23,1860,"",8,9,930,4,"","Prenda"
"**0730",28,1560,"",8,9,780,4,"","Prenda"
"0755",2,1100,"",8,9,550,4,"","Prenda"
"**765",25,1860,"EXTRA AZUL REY",8,9,930,4,"","Prenda"
"**794",10,1700,"",8,9,850,4,"","Prenda"
"**811",11,1720,"",8,9,860,4,"","Prenda"
"**815",6,2200,"",8,9,1100,4,"","Prenda"
"**819",11,1700,"",8,9,850,4,"","Prenda"
"**825",3,1600,"",8,9,800,4,"","Prenda"
"827",6,1700,"",8,9,850,4,"","Prenda"
"**832",22,1400,"",8,9,700,4,"","Prenda"
"**833",3,1760,"",8,9,880,4,"","Prenda"
"**834",8,1460,"",8,9,730,4,"","Prenda"
"**834",4,1860,"",8,9,930,4,"","Prenda"
"**835",1,1660,"",8,9,830,4,"","Prenda"
"836",4,1600,"",8,9,800,4,"","Prenda"
"**837",7,1700,"",8,9,850,4,"","Prenda"
"**841",9,1800,"",8,9,900,4,"","Prenda"
"**840",17,1700,"",8,9,850,4,"","Prenda"
"**842",1,1600,"",8,9,800,4,"","Prenda"
"**844",5,1600,"",8,9,800,4,"","Prenda"
"**847",18,1640,"",8,9,820,4,"","Prenda"
"**850",19,1800,"",8,9,900,4,"","Prenda"
"**851T",4,1840,"",8,9,920,4,"","Prenda"
"852",3,2200,"",8,9,1100,4,"","Prenda"
"854",0,1700,"",8,9,850,4,"","Prenda"
"855",3,1700,"",8,9,850,4,"","Prenda"
