"modelo","n_existencias","precio","descripcion","id_proveedor","id_marca","costo","id_tienda","notas","articulo"
"1053",2,200,"",6,7,100,4,"","Prenda"
"CC-1357",5,2400,"",6,7,1200,4,"","Prenda"
"CC-1440",1,4100,"",6,7,2050,4,"","Prenda"
"CD-0212",1,1276,"",6,7,638,4,"","Prenda"
"3208",1,20,"",6,7,10,4,"","Prenda"
"CD-5052",1,20,"",6,7,10,4,"","Prenda"
"CD-7664",7,3320,"",6,7,1660,4,"","Prenda"
"CD-9041",2,200,"",6,7,100,4,"","Prenda"
"CDCF-158",3,3500,"",6,7,1750,4,"","Prenda"
"CDCF-114",5,3240,"",6,7,1620,4,"","Prenda"
"CDJC-214",1,4100,"",6,7,2050,4,"","Prenda"
"EU-3194",6,3000,"",6,7,1500,4,"","Prenda"
"SP-5228",11,2000,"",6,7,1000,4,"","Prenda"
"SP-5515",5,2000,"",6,7,1000,4,"","Prenda"
"5443",21,1680,"",7,8,840,4,"","Prenda"
"5469",17,1590,"",7,8,795,4,"","Prenda"
"5488",14,1500,"",7,8,750,4,"","Prenda"
"5509",13,1790,"",7,8,895,4,"","Prenda"
"5545",4,1550,"",7,8,775,4,"","Prenda"
"5550",4,1790,"",7,8,895,4,"","Prenda"
"5551",5,1900,"",7,8,950,4,"","Prenda"
"5552",37,1890,"",7,8,945,4,"","Prenda"
"5553",3,1750,"",7,8,875,4,"","Prenda"
"5554",9,2000,"",7,8,1000,4,"","Prenda"
"5557",7,2700,"",7,8,1350,4,"","Prenda"
"5558",0,1800,"",7,8,900,4,"","Prenda"
"5563",5,1850,"",7,8,925,4,"","Prenda"
"5564",14,1800,"",7,8,900,4,"","Prenda"
"5566",15,1870,"",7,8,935,4,"","Prenda"
"5567",4,1790,"",7,8,895,4,"","Prenda"
"5571",7,1900,"",7,8,950,4,"","Prenda"
"5574",6,1900,"",7,8,950,4,"","Prenda"
"5577",13,1950,"",7,8,975,4,"","Prenda"
"5578",15,1990,"",7,8,995,4,"","Prenda"
"5579",12,1500,"",7,8,750,4,"","Prenda"
"5580",12,1920,"",7,8,960,4,"","Prenda"
"5582",7,1900,"",7,8,950,4,"","Prenda"
"5583",8,1690,"",7,8,845,4,"","Prenda"
"5587",7,1900,"",7,8,950,4,"","Prenda"
"5588",5,1900,"",7,8,950,4,"","Prenda"
"5589",7,1850,"",7,8,925,4,"","Prenda"
"5592",9,1950,"",7,8,975,4,"","Prenda"
"5593",3,1200,"",7,8,600,4,"","Prenda"
"5594",13,2000,"",7,8,1000,4,"","Prenda"
